client_id,client_name,industry_sector,company_size,first_booking_date,account_manager,region
C0285,Emirates Trading Services,Retail,Large (201-500),2023-10-14,Mohammed Ali,Ajman
C0286,Global Investment Enterprises,Banking & Finance,Small (1-50),2021-02-14,Fatima Ahmed,Sharjah
C0287,International Industries,Technology,Enterprise (500+),2024-09-27,Fatima Ahmed,Fujairah
C0288,Construction Holdings,Healthcare,Medium (51-200),2022-12-10,Noura Salem,Sharjah
C0289,Global Technology Holdings,Healthcare,Small (1-50),2023-10-04,Ahmed Abdullah,Abu Dhabi
C0290,Petroleum Group,Government,Small (1-50),2023-05-29,Mohammed Ali,Ajman
C0291,Aviation Industries,Oil & Gas,Small (1-50),2024-01-02,Sara Hassan,Ajman
C0292,Insurance Services,Retail,Small (1-50),2024-06-03,Ahmed Abdullah,Ras Al Khaimah
C0293,Gulf Aviation Industries,Telecommunications,Small (1-50),2025-01-05,Fatima Ahmed,Abu Dhabi
C0294,Aviation Group,Aviation,Enterprise (500+),2024-07-30,Mohammed Ali,Sharjah
C0295,Arabian Manufacturing Enterprises,Real Estate,Small (1-50),2024-07-22,Mohammed Ali,Dubai
C0296,Emirates Services,Retail,Small (1-50),2021-06-09,Noura Salem,Ajman
C0297,Gulf Trading Industries,Construction,Large (201-500),2025-11-26,Noura Salem,Ajman
C0298,Dubai Manufacturing International,Healthcare,Large (201-500),2021-08-13,Fatima Ahmed,Sharjah
C0299,Emirates Company,Construction,Small (1-50),2025-12-10,Mohammed Ali,Fujairah
C0300,International Solutions,Telecommunications,Small (1-50),2024-05-18,Noura Salem,Abu Dhabi
C0301,Emirates LLC,Manufacturing,Medium (51-200),2023-02-11,Mohammed Ali,Sharjah
C0302,Gulf Real Estate Solutions,Oil & Gas,Medium (51-200),2024-06-26,Mohammed Ali,Ras Al Khaimah
C0303,Abu Dhabi Petroleum Corporation,Real Estate,Large (201-500),2025-05-03,Mohammed Ali,Ajman
C0304,Real Estate Industries,Telecommunications,Small (1-50),2024-03-21,Mohammed Ali,Sharjah
C0305,Healthcare Group,Education,Large (201-500),2025-02-12,Mohammed Ali,Abu Dhabi
C0306,United Healthcare International,Oil & Gas,Small (1-50),2023-09-06,Fatima Ahmed,Dubai
C0307,Gulf Holdings,Logistics,Small (1-50),2025-03-20,Fatima Ahmed,Abu Dhabi
C0308,Emirates Enterprises,Banking & Finance,Medium (51-200),2024-11-03,Noura Salem,Ajman
C0309,Arabian Insurance Group,Government,Large (201-500),2021-05-05,Sara Hassan,Ajman
C0310,Global Company,Technology,Enterprise (500+),2025-02-11,Fatima Ahmed,Abu Dhabi
C0311,Arabian Aviation Solutions,Technology,Large (201-500),2024-05-19,Ahmed Abdullah,Ras Al Khaimah
C0312,United Development LLC,Banking & Finance,Large (201-500),2021-07-26,Noura Salem,Dubai
C0313,National Bank Services,Government,Small (1-50),2025-10-13,Mohammed Ali,Fujairah
C0314,Dubai LLC,Logistics,Medium (51-200),2024-08-06,Mohammed Ali,Dubai
C0315,Manufacturing Enterprises,Tourism & Hospitality,Medium (51-200),2022-08-17,Noura Salem,Dubai
C0316,United Healthcare Industries,Healthcare,Medium (51-200),2021-04-04,Fatima Ahmed,Ras Al Khaimah
C0317,Dubai Corporation,Banking & Finance,Small (1-50),2023-04-09,Mohammed Ali,Ras Al Khaimah
C0318,Petroleum Enterprises,Manufacturing,Enterprise (500+),2021-12-30,Noura Salem,Abu Dhabi
C0319,Real Estate Services,Retail,Medium (51-200),2024-01-23,Noura Salem,Fujairah
C0320,Gulf Trading LLC,Government,Small (1-50),2022-07-05,Noura Salem,Ajman
C0321,Global Bank Corporation,Manufacturing,Small (1-50),2021-03-06,Ahmed Abdullah,Dubai
C0322,Technology Holdings,Manufacturing,Large (201-500),2024-02-03,Ahmed Abdullah,Abu Dhabi
C0323,Real Estate Holdings,Banking & Finance,Small (1-50),2024-06-17,Ahmed Abdullah,Ajman
C0324,United Solutions,Oil & Gas,Enterprise (500+),2021-11-03,Noura Salem,Fujairah
C0325,United Holdings,Banking & Finance,Large (201-500),2021-09-12,Sara Hassan,Abu Dhabi
C0326,Abu Dhabi Holdings,Tourism & Hospitality,Enterprise (500+),2025-07-14,Fatima Ahmed,Ajman
C0327,Abu Dhabi Education Solutions,Healthcare,Enterprise (500+),2022-04-14,Noura Salem,Fujairah
C0328,National Company,Tourism & Hospitality,Enterprise (500+),2021-11-09,Mohammed Ali,Abu Dhabi
C0329,Al Investment Holdings,Banking & Finance,Medium (51-200),2023-12-05,Mohammed Ali,Fujairah
C0330,Insurance Services,Education,Small (1-50),2024-04-24,Noura Salem,Ajman
C0331,Abu Dhabi Services,Construction,Large (201-500),2024-11-29,Mohammed Ali,Sharjah
C0332,Emirates Enterprises,Aviation,Medium (51-200),2022-10-14,Noura Salem,Abu Dhabi
C0333,Technology Services,Healthcare,Enterprise (500+),2021-03-27,Sara Hassan,Abu Dhabi
C0334,Al Healthcare LLC,Oil & Gas,Enterprise (500+),2023-09-26,Mohammed Ali,Dubai
C0335,Dubai Aviation Group,Logistics,Medium (51-200),2024-10-05,Noura Salem,Sharjah
C0336,International Solutions,Real Estate,Enterprise (500+),2024-02-27,Fatima Ahmed,Fujairah
C0337,Aviation Corporation,Tourism & Hospitality,Small (1-50),2022-06-15,Fatima Ahmed,Ras Al Khaimah
C0338,International Enterprises,Manufacturing,Enterprise (500+),2021-07-30,Noura Salem,Ras Al Khaimah
C0339,Education LLC,Telecommunications,Enterprise (500+),2023-04-19,Fatima Ahmed,Ajman
C0340,National Enterprises,Education,Large (201-500),2024-02-03,Ahmed Abdullah,Fujairah
C0341,Abu Dhabi Industries,Education,Enterprise (500+),2022-02-09,Noura Salem,Fujairah
C0342,Arabian Services,Logistics,Small (1-50),2025-06-13,Noura Salem,Dubai
C0343,Real Estate International,Banking & Finance,Medium (51-200),2025-07-31,Mohammed Ali,Dubai
C0344,United Group,Retail,Enterprise (500+),2021-04-03,Noura Salem,Ajman
C0345,Dubai Enterprises,Government,Enterprise (500+),2022-05-21,Noura Salem,Ras Al Khaimah
C0346,Gulf Aviation Industries,Government,Medium (51-200),2023-12-27,Mohammed Ali,Fujairah
C0347,Healthcare Group,Banking & Finance,Enterprise (500+),2024-09-07,Mohammed Ali,Fujairah
C0348,Education Industries,Telecommunications,Large (201-500),2024-12-23,Ahmed Abdullah,Ajman
C0349,Construction International,Technology,Small (1-50),2021-03-04,Fatima Ahmed,Ras Al Khaimah
C0350,Global Industries,Oil & Gas,Large (201-500),2022-03-27,Sara Hassan,Fujairah
C0351,National Construction Industries,Aviation,Enterprise (500+),2024-02-16,Sara Hassan,Fujairah
C0352,National Industries,Telecommunications,Small (1-50),2025-03-01,Noura Salem,Fujairah
C0353,Technology Services,Retail,Large (201-500),2022-09-28,Mohammed Ali,Fujairah
C0354,Aviation Industries,Aviation,Medium (51-200),2021-01-12,Sara Hassan,Fujairah
C0355,National Solutions,Education,Large (201-500),2025-06-13,Ahmed Abdullah,Abu Dhabi
C0356,Al Logistics LLC,Real Estate,Small (1-50),2023-04-24,Ahmed Abdullah,Ras Al Khaimah
C0357,Development Solutions,Construction,Medium (51-200),2024-04-10,Sara Hassan,Fujairah
C0358,Emirates Insurance Enterprises,Construction,Large (201-500),2024-12-08,Mohammed Ali,Dubai
C0359,Abu Dhabi LLC,Technology,Enterprise (500+),2022-09-19,Ahmed Abdullah,Abu Dhabi
C0360,International Trading Enterprises,Banking & Finance,Small (1-50),2025-09-26,Mohammed Ali,Dubai
C0361,Emirates Solutions,Government,Small (1-50),2022-01-22,Fatima Ahmed,Sharjah
C0362,Development Solutions,Government,Large (201-500),2024-04-26,Ahmed Abdullah,Sharjah
C0363,Dubai Aviation Solutions,Telecommunications,Small (1-50),2021-09-28,Noura Salem,Ras Al Khaimah
C0364,Real Estate International,Banking & Finance,Small (1-50),2024-12-31,Fatima Ahmed,Fujairah
C0365,Investment Holdings,Education,Enterprise (500+),2021-04-05,Mohammed Ali,Dubai
C0366,Technology Holdings,Real Estate,Large (201-500),2022-01-19,Noura Salem,Ras Al Khaimah
C0367,Abu Dhabi Investment Holdings,Aviation,Small (1-50),2022-01-07,Ahmed Abdullah,Dubai
C0368,International Company,Government,Small (1-50),2022-07-14,Noura Salem,Ajman
C0369,United Development Company,Logistics,Enterprise (500+),2024-10-13,Mohammed Ali,Abu Dhabi
C0370,National Company,Construction,Small (1-50),2021-07-30,Fatima Ahmed,Dubai
C0371,Al Logistics Industries,Logistics,Small (1-50),2021-01-17,Fatima Ahmed,Dubai
C0372,Education Industries,Oil & Gas,Large (201-500),2022-03-25,Sara Hassan,Dubai
C0373,National Solutions,Manufacturing,Medium (51-200),2025-04-23,Fatima Ahmed,Dubai
C0374,Education Services,Manufacturing,Enterprise (500+),2022-01-17,Mohammed Ali,Ras Al Khaimah
C0375,Gulf Education Group,Technology,Enterprise (500+),2023-10-27,Fatima Ahmed,Abu Dhabi
C0376,Real Estate LLC,Tourism & Hospitality,Medium (51-200),2024-06-25,Sara Hassan,Ras Al Khaimah
C0377,Insurance Enterprises,Manufacturing,Enterprise (500+),2023-01-06,Mohammed Ali,Ras Al Khaimah
C0378,Al Bank Corporation,Oil & Gas,Enterprise (500+),2022-07-06,Sara Hassan,Dubai
C0379,Dubai International,Logistics,Medium (51-200),2024-02-04,Fatima Ahmed,Ajman
C0380,United Services,Telecommunications,Small (1-50),2023-06-17,Fatima Ahmed,Ajman
C0381,Real Estate LLC,Manufacturing,Large (201-500),2023-08-21,Noura Salem,Ras Al Khaimah
C0382,Middle East Technology Services,Logistics,Enterprise (500+),2024-10-15,Sara Hassan,Ras Al Khaimah
C0383,Global Education Services,Oil & Gas,Medium (51-200),2021-08-24,Fatima Ahmed,Sharjah
C0384,Middle East Real Estate Industries,Government,Enterprise (500+),2023-12-16,Mohammed Ali,Fujairah
C0385,Global Company,Healthcare,Enterprise (500+),2021-10-14,Mohammed Ali,Fujairah
C0386,Al LLC,Manufacturing,Medium (51-200),2024-01-20,Ahmed Abdullah,Abu Dhabi
C0387,Healthcare Corporation,Tourism & Hospitality,Medium (51-200),2022-12-22,Mohammed Ali,Abu Dhabi
C0388,Investment Solutions,Telecommunications,Medium (51-200),2023-10-11,Sara Hassan,Ajman
C0389,Abu Dhabi Solutions,Logistics,Large (201-500),2024-01-10,Noura Salem,Fujairah
C0390,Technology Corporation,Manufacturing,Medium (51-200),2024-09-23,Noura Salem,Ras Al Khaimah
C0391,Insurance LLC,Manufacturing,Enterprise (500+),2022-01-21,Noura Salem,Sharjah
C0392,Arabian Real Estate Group,Banking & Finance,Small (1-50),2021-03-13,Mohammed Ali,Sharjah
C0393,Abu Dhabi Construction Industries,Aviation,Small (1-50),2021-09-28,Sara Hassan,Ajman
C0394,Investment Company,Aviation,Large (201-500),2025-05-17,Fatima Ahmed,Ajman
C0395,Arabian Real Estate Enterprises,Tourism & Hospitality,Enterprise (500+),2023-10-11,Mohammed Ali,Fujairah
C0396,International LLC,Construction,Medium (51-200),2021-12-30,Fatima Ahmed,Dubai
C0397,Al Solutions,Government,Medium (51-200),2024-12-22,Noura Salem,Sharjah
C0398,Gulf Insurance Corporation,Aviation,Large (201-500),2025-12-01,Ahmed Abdullah,Ras Al Khaimah
C0399,Gulf Petroleum Enterprises,Aviation,Medium (51-200),2022-11-12,Ahmed Abdullah,Ras Al Khaimah
C0400,Dubai Company,Retail,Large (201-500),2022-12-09,Mohammed Ali,Ras Al Khaimah
C0401,Insurance Company,Tourism & Hospitality,Medium (51-200),2022-12-22,Fatima Ahmed,Fujairah
C0402,Arabian Real Estate Holdings,Real Estate,Large (201-500),2024-02-24,Noura Salem,Ras Al Khaimah
C0403,United Bank Industries,Oil & Gas,Medium (51-200),2023-06-14,Noura Salem,Ras Al Khaimah
C0404,Middle East Petroleum Company,Healthcare,Enterprise (500+),2025-11-27,Fatima Ahmed,Fujairah
C0405,Abu Dhabi Bank Services,Government,Large (201-500),2022-02-06,Noura Salem,Abu Dhabi
C0406,Arabian Services,Retail,Small (1-50),2022-09-22,Ahmed Abdullah,Fujairah
C0407,Emirates LLC,Real Estate,Small (1-50),2025-04-14,Sara Hassan,Fujairah
C0408,United Solutions,Government,Medium (51-200),2024-04-04,Mohammed Ali,Fujairah
C0409,Bank International,Government,Small (1-50),2023-10-04,Fatima Ahmed,Abu Dhabi
C0410,Construction Company,Telecommunications,Large (201-500),2022-09-27,Mohammed Ali,Ajman
C0411,International Aviation Corporation,Oil & Gas,Medium (51-200),2022-04-30,Noura Salem,Abu Dhabi
C0412,Emirates Industries,Oil & Gas,Medium (51-200),2021-03-05,Noura Salem,Ajman
C0413,Gulf Aviation Company,Retail,Enterprise (500+),2024-02-04,Ahmed Abdullah,Sharjah
C0414,Abu Dhabi LLC,Technology,Medium (51-200),2022-06-29,Fatima Ahmed,Sharjah
C0415,National Enterprises,Construction,Enterprise (500+),2024-07-26,Sara Hassan,Sharjah
C0416,International Petroleum Corporation,Real Estate,Medium (51-200),2023-03-21,Sara Hassan,Fujairah
C0417,Technology Group,Tourism & Hospitality,Enterprise (500+),2022-06-08,Noura Salem,Dubai
C0418,International Services,Technology,Medium (51-200),2025-09-28,Noura Salem,Fujairah
C0419,International International,Real Estate,Small (1-50),2021-02-21,Mohammed Ali,Ras Al Khaimah
C0420,Aviation Corporation,Tourism & Hospitality,Medium (51-200),2022-02-10,Ahmed Abdullah,Sharjah
C0421,Dubai Real Estate Services,Banking & Finance,Medium (51-200),2025-09-21,Noura Salem,Sharjah
C0422,Petroleum International,Logistics,Large (201-500),2023-10-10,Sara Hassan,Ras Al Khaimah
C0423,Development LLC,Logistics,Small (1-50),2022-11-24,Noura Salem,Sharjah
C0424,Insurance Services,Banking & Finance,Medium (51-200),2023-11-03,Ahmed Abdullah,Dubai
C0425,Dubai Corporation,Tourism & Hospitality,Small (1-50),2024-08-28,Mohammed Ali,Ajman
C0426,Insurance Company,Government,Enterprise (500+),2021-05-26,Fatima Ahmed,Dubai
C0427,Abu Dhabi Education LLC,Tourism & Hospitality,Medium (51-200),2025-09-15,Fatima Ahmed,Dubai
C0428,Technology Group,Telecommunications,Large (201-500),2024-07-02,Fatima Ahmed,Dubai
C0429,Logistics Solutions,Government,Medium (51-200),2023-06-07,Noura Salem,Fujairah
C0430,National Aviation Enterprises,Technology,Enterprise (500+),2023-01-31,Mohammed Ali,Abu Dhabi
C0431,Logistics Corporation,Oil & Gas,Medium (51-200),2025-11-09,Ahmed Abdullah,Ras Al Khaimah
C0432,Petroleum Services,Government,Small (1-50),2022-08-02,Ahmed Abdullah,Ras Al Khaimah
C0433,International Solutions,Retail,Small (1-50),2023-08-04,Ahmed Abdullah,Dubai
C0434,Emirates Industries,Education,Medium (51-200),2024-07-09,Fatima Ahmed,Fujairah
C0435,Bank Solutions,Healthcare,Large (201-500),2021-10-12,Ahmed Abdullah,Sharjah
C0436,National Industries,Tourism & Hospitality,Large (201-500),2025-05-08,Noura Salem,Sharjah
C0437,Arabian International,Government,Large (201-500),2022-02-18,Noura Salem,Ras Al Khaimah
C0438,Manufacturing Corporation,Oil & Gas,Medium (51-200),2023-03-28,Ahmed Abdullah,Fujairah
C0439,Real Estate International,Telecommunications,Small (1-50),2025-01-15,Mohammed Ali,Ajman
C0440,Al Real Estate Holdings,Oil & Gas,Large (201-500),2022-05-20,Mohammed Ali,Sharjah
C0441,Arabian LLC,Telecommunications,Small (1-50),2025-07-02,Mohammed Ali,Fujairah
C0442,United Bank Company,Aviation,Medium (51-200),2023-03-06,Noura Salem,Dubai
C0443,Middle East Group,Aviation,Enterprise (500+),2022-03-03,Sara Hassan,Fujairah
C0444,Arabian Education Company,Real Estate,Large (201-500),2023-09-25,Noura Salem,Ras Al Khaimah
C0445,Dubai LLC,Tourism & Hospitality,Small (1-50),2023-12-31,Sara Hassan,Dubai
C0446,International Petroleum International,Aviation,Large (201-500),2023-09-01,Noura Salem,Ras Al Khaimah
C0447,United Company,Manufacturing,Enterprise (500+),2024-07-18,Noura Salem,Abu Dhabi
C0448,Arabian Company,Technology,Large (201-500),2023-03-31,Noura Salem,Ras Al Khaimah
C0449,National Trading Industries,Real Estate,Medium (51-200),2025-11-23,Ahmed Abdullah,Sharjah
C0450,Dubai Education Industries,Telecommunications,Medium (51-200),2023-12-19,Sara Hassan,Dubai
C0451,Dubai Logistics Company,Oil & Gas,Enterprise (500+),2024-08-30,Noura Salem,Abu Dhabi
C0452,Development Services,Logistics,Large (201-500),2021-08-30,Ahmed Abdullah,Dubai
C0453,Aviation Group,Aviation,Enterprise (500+),2021-08-30,Ahmed Abdullah,Ras Al Khaimah
C0454,Insurance Holdings,Real Estate,Enterprise (500+),2025-10-07,Sara Hassan,Fujairah
C0455,Arabian LLC,Tourism & Hospitality,Large (201-500),2025-11-25,Mohammed Ali,Ras Al Khaimah
C0456,Global Enterprises,Technology,Medium (51-200),2024-06-22,Ahmed Abdullah,Fujairah
C0457,Gulf Development Solutions,Tourism & Hospitality,Medium (51-200),2021-09-24,Fatima Ahmed,Fujairah
C0458,Arabian Company,Aviation,Small (1-50),2024-06-08,Mohammed Ali,Ajman
C0459,International Enterprises,Education,Small (1-50),2023-02-23,Ahmed Abdullah,Abu Dhabi
C0460,National Services,Telecommunications,Large (201-500),2022-01-28,Sara Hassan,Sharjah
C0461,Gulf Group,Logistics,Medium (51-200),2023-12-06,Noura Salem,Ras Al Khaimah
C0462,National Enterprises,Aviation,Enterprise (500+),2022-04-22,Fatima Ahmed,Ajman
C0463,Investment LLC,Technology,Small (1-50),2022-07-05,Fatima Ahmed,Dubai
C0464,Manufacturing Industries,Manufacturing,Enterprise (500+),2024-01-09,Sara Hassan,Ajman
C0465,Gulf Manufacturing LLC,Logistics,Small (1-50),2021-07-27,Mohammed Ali,Fujairah
C0466,Middle East Construction Holdings,Oil & Gas,Enterprise (500+),2024-08-19,Noura Salem,Abu Dhabi
C0467,Arabian Healthcare Holdings,Manufacturing,Enterprise (500+),2025-10-20,Sara Hassan,Dubai
C0468,National Insurance Corporation,Banking & Finance,Large (201-500),2024-07-24,Sara Hassan,Ajman
C0469,International Construction International,Tourism & Hospitality,Enterprise (500+),2023-05-01,Noura Salem,Ajman
C0470,Middle East Technology International,Aviation,Small (1-50),2023-01-05,Ahmed Abdullah,Sharjah
C0471,Arabian Construction Corporation,Retail,Large (201-500),2023-11-24,Ahmed Abdullah,Ras Al Khaimah
C0472,National Group,Tourism & Hospitality,Medium (51-200),2025-11-25,Fatima Ahmed,Ras Al Khaimah
C0473,Trading Corporation,Telecommunications,Enterprise (500+),2023-11-08,Ahmed Abdullah,Dubai
C0474,International LLC,Manufacturing,Large (201-500),2024-06-22,Ahmed Abdullah,Dubai
C0475,Technology Services,Construction,Large (201-500),2021-03-01,Noura Salem,Ajman
C0476,Gulf Bank Corporation,Education,Large (201-500),2024-11-23,Mohammed Ali,Fujairah
C0477,Abu Dhabi Group,Technology,Large (201-500),2023-06-29,Ahmed Abdullah,Sharjah
C0478,Al Development Holdings,Real Estate,Enterprise (500+),2023-05-08,Mohammed Ali,Dubai
C0479,Al Holdings,Aviation,Enterprise (500+),2021-03-25,Mohammed Ali,Fujairah
C0480,Insurance Solutions,Education,Large (201-500),2025-10-05,Mohammed Ali,Fujairah
C0481,Construction Services,Education,Medium (51-200),2021-11-12,Sara Hassan,Abu Dhabi
C0482,Middle East Trading Holdings,Aviation,Large (201-500),2021-02-08,Noura Salem,Abu Dhabi
C0483,Dubai Bank Group,Retail,Small (1-50),2023-09-24,Mohammed Ali,Dubai
C0484,Bank Enterprises,Government,Small (1-50),2023-02-23,Mohammed Ali,Ajman
C0485,United Company,Telecommunications,Medium (51-200),2024-08-23,Sara Hassan,Abu Dhabi
C0486,United Healthcare Industries,Real Estate,Large (201-500),2023-03-25,Sara Hassan,Fujairah
C0487,National Logistics LLC,Construction,Large (201-500),2023-04-28,Sara Hassan,Ras Al Khaimah
C0488,Arabian Corporation,Aviation,Medium (51-200),2023-11-22,Sara Hassan,Fujairah
C0489,Technology Services,Government,Large (201-500),2025-08-05,Sara Hassan,Ajman
C0490,Gulf Petroleum Holdings,Logistics,Small (1-50),2022-05-10,Mohammed Ali,Abu Dhabi
C0491,Technology Services,Tourism & Hospitality,Large (201-500),2023-03-24,Fatima Ahmed,Sharjah
C0492,Global Manufacturing Holdings,Construction,Small (1-50),2024-09-16,Sara Hassan,Ras Al Khaimah
C0493,Arabian Logistics Enterprises,Telecommunications,Small (1-50),2021-10-12,Sara Hassan,Abu Dhabi
C0494,International Petroleum Holdings,Real Estate,Medium (51-200),2024-09-26,Noura Salem,Fujairah
C0495,Arabian Holdings,Manufacturing,Enterprise (500+),2024-12-11,Ahmed Abdullah,Abu Dhabi
C0496,Technology Corporation,Tourism & Hospitality,Enterprise (500+),2025-01-05,Sara Hassan,Sharjah
C0497,Logistics Enterprises,Healthcare,Medium (51-200),2022-11-12,Ahmed Abdullah,Ras Al Khaimah
C0498,United Solutions,Tourism & Hospitality,Small (1-50),2021-10-10,Noura Salem,Dubai
C0499,Bank Industries,Real Estate,Medium (51-200),2024-04-03,Fatima Ahmed,Abu Dhabi
C0500,Gulf Aviation Corporation,Education,Large (201-500),2023-05-15,Fatima Ahmed,Ras Al Khaimah
